,,,x,y,z,xyz,,,,,x,y,z,xyz,,,,,G,A,
7.6,,62,-0.2,-0.7,0.1,0.76,0.223606798,,,62,-126.7,85,67.2,166.7,,,62,-0.7,67.2,32.169,67.2
16.8,,63,1.1,-1.2,0.5,1.68,1.208304597,,,63,-109.9,-22.5,77.6,136.4,,,63,-1.2,77.6,82.169,77.6
21.5,,64,1.8,-0.8,0.9,2.15,2.01246118,,,64,9.2,64.3,34.4,73.5,,,64,-0.8,34.4,42.169,34.4
3.5,,65,0.2,0.3,0.2,0.35,0.282842712,,,65,87,-66.3,-81.3,136.3,,,65,0.3,-81.3,67.831,81.3
8.5,,66,0.5,-0.4,0.6,0.85,0.781024968,,,66,110.9,1.7,-155.7,191.2,,,66,-0.4,-155.7,2.169,155.7
14.5,,67,0.6,-1,0.9,1.45,1.081665383,,,67,-66.2,-109.5,202.3,239.3,,,67,-1,202.3,62.169,202.3
7.7,,68,0.5,-0.2,0.5,0.77,0.707106781,,,68,-115,-66.5,148.9,199.6,,,68,-0.2,148.9,17.831,148.9
16.6,,69,1.6,0.2,0.4,1.66,1.64924225,,,69,-141,13.7,-81.7,163.6,,,69,0.2,-81.7,57.831,81.7
22.5,,70,1.8,-1,0.8,2.25,1.96977156,,,70,82.7,80.5,-130.4,174.2,,,70,-1,-130.4,62.169,130.4
6.3,,71,-0.3,-0.6,-0.1,0.63,0.316227766,,,71,147.2,68.4,-80.5,181.2,,,71,-0.6,-80.5,22.169,80.5
15.2,,72,-0.2,-1.4,0.5,1.52,0.538516481,,,72,112.2,3.3,60.1,127.3,,,72,-1.4,60.1,102.169,60.1
24,,73,1.5,-1,1.6,2.4,2.19317122,,,73,-141.2,28.3,231.2,272.4,,,73,-1,231.2,62.169,231.2
8.5,,74,0.6,0.5,0.4,0.85,0.721110255,,,74,-103,-43.5,82.9,139.2,,,74,0.5,82.9,87.831,82.9
16.2,,75,1.4,0.5,0.7,1.62,1.565247584,,,75,-36.3,52.7,-156.9,169.5,,,75,0.5,-156.9,87.831,156.9
23,,76,1.9,-1,0.9,2.3,2.102379604,,,76,79.8,220.8,-170.7,290.3,,,76,-1,-170.7,62.169,170.7
10.3,,77,0.2,-1,0,1.03,0.2,,,77,100.4,5.5,-7,100.8,,,77,-1,-7,62.169,7
13.2,,78,-0.2,-1.2,0.4,1.32,0.447213595,,,78,126.5,-170.6,56.3,219.7,,,78,-1.2,56.3,82.169,56.3
28.8,,79,2,-0.9,1.9,2.88,2.758622845,,,79,-138.1,-26.3,250,286.8,,,79,-0.9,250,52.169,250
8.8,,80,0.7,0.1,0.5,0.88,0.860232527,,,80,-111.7,2.4,115.3,160.6,,,80,0.1,115.3,47.831,115.3
11,,81,0.8,0,0.7,1.1,1.063014581,,,81,-19.2,-2.2,-104.4,106.2,,,81,0,-104.4,37.831,104.4
16.8,,82,1.4,-0.7,0.5,1.68,1.486606875,,,82,84.5,128.1,-131.5,202,,,82,-0.7,-131.5,32.169,131.5
10,,83,0.4,-0.9,0,1,0.4,,,83,51.4,47.8,66.1,96.4,,,83,-0.9,66.1,52.169,66.1
9.2,,84,-0.1,-0.9,0.3,0.92,0.316227766,,,84,111.6,-131.3,-26.1,174.3,,,84,-0.9,-26.1,52.169,26.1
22,,85,1.7,-0.4,1.3,2.2,2.140093456,,,85,-44.5,-172.4,97,202.8,,,85,-0.4,97,2.169,97
9.4,,86,0.7,0.1,0.6,0.94,0.921954446,,,86,-104.5,47.1,104.8,155.3,,,86,0.1,104.8,47.831,104.8
7.7,,87,0.5,0.3,0.5,0.77,0.707106781,,,87,37.5,64.7,-112.5,135.1,,,87,0.3,-112.5,67.831,112.5
17.1,,88,1.5,-0.1,0.8,1.71,1.7,,,88,72.8,-16.4,-250,260.9,,,88,-0.1,-250,27.831,250
10.3,,89,0.5,-0.9,0.2,1.03,0.538516481,,,89,-16.1,23.4,145,147.8,,,89,-0.9,145,52.169,145
6.3,,90,0,-0.6,0.2,0.63,0.2,,,90,4.3,-69.9,85.4,110.5,,,90,-0.6,85.4,22.169,85.4
14.9,,91,0.9,-0.2,1.2,1.49,1.5,,,91,49.9,-52.9,7.6,73.1,,,91,-0.2,7.6,17.831,7.6
16.4,,92,1.3,-0.1,1,1.64,1.640121947,,,92,-63.4,34.7,112.1,133.4,,,92,-0.1,112.1,27.831,112.1
6.1,,93,0.5,-0.1,0.3,0.61,0.583095189,,,93,-48.5,68.2,-14,84.8,,,93,-0.1,-14,27.831,14
13.8,,94,1,-0.4,0.8,1.38,1.280624847,,,94,66,81.1,-186.6,213.9,,,94,-0.4,-186.6,2.169,186.6
15,,95,1.1,-1,0.2,1.5,1.118033989,,,95,39,111,30.8,121.6,,,95,-1,30.8,62.169,30.8
5.7,,96,0.1,-0.6,0,0.57,0.1,,,96,52.2,-71.1,89.4,125.6,,,96,-0.6,89.4,22.169,89.4
12.2,,97,0.7,-0.6,0.9,1.22,1.140175425,,,97,70.4,-10,-38.4,80.8,,,97,-0.6,-38.4,22.169,38.4
