,,,,,,z|x,,,,,,,,Ay,Gz,Ay_
86,0.2,-0.8,0.3,9.3,0.93,0.360555128,,25.9,-39.3,7.8,47.7,,86,0.8,7.8,-42
87,0.1,-0.8,0.5,8.9,0.89,0.509901951,,14.3,27.4,13.3,33.6,,87,0.8,13.3,-42
88,0.1,-0.9,0.5,10.6,1.06,0.509901951,,13.5,-6.4,8.7,17.3,,88,0.9,8.7,-12
89,0.2,-1,0.5,11.2,1.12,0.538516481,,29.6,-25.8,-39.7,55.8,,89,1,-39.7,18
90,0.1,-1,0.5,11.3,1.13,0.509901951,,40.9,1.3,-82,91.6,,90,1,-82,18
91,0.1,-0.9,0.4,10.4,1.04,0.412310563,,36.2,22,-99.1,107.8,,91,0.9,-99.1,-12
92,0.1,-1,0.4,10.6,1.06,0.412310563,,24.5,13.4,-85.3,89.8,,92,1,-85.3,18
93,0.2,-0.9,0.4,9.6,0.96,0.447213595,,10.1,-12.2,-59.7,61.8,,93,0.9,-59.7,-12
94,0.2,-0.7,0.4,8.8,0.88,0.447213595,,-17.3,-7.4,-20,27.5,,94,0.7,-20,-72
95,0.3,-0.8,0.4,9.7,0.97,0.5,,-36.9,6.6,21.9,43.4,,95,0.8,21.9,-42
96,0.2,-0.9,0.4,10.1,1.01,0.447213595,,-47.8,-11,63.1,79.9,,96,0.9,63.1,-12
97,0.3,-1.1,0.4,12.1,1.21,0.5,,-39.7,-3.4,58.5,70.8,,97,1.1,58.5,48
98,0.3,-1,0.4,11.5,1.15,0.5,,-24.3,-27.9,55.6,66.8,,98,1,55.6,18
99,0.2,-1,0.3,10.7,1.07,0.360555128,,-10.9,-21.9,61.5,66.1,,99,1,61.5,18
100,0.2,-1,0.3,10.5,1.05,0.360555128,,-6.9,-27.9,60.1,66.6,,100,1,60.1,18
101,0.2,-0.9,0.4,9.8,0.98,0.447213595,,-10.3,5,36.8,38.6,,101,0.9,36.8,-12
102,0.1,-0.9,0.6,10.6,1.06,0.608276253,,23.6,-17.3,2.4,29.4,,102,0.9,2.4,-12
103,0.2,-0.9,0.5,10.9,1.09,0.538516481,,44.4,-28.7,-14.4,54.8,,103,0.9,-14.4,-12
104,0.2,-1,0.4,11.2,1.12,0.447213595,,41.6,-11.4,-53.7,68.9,,104,1,-53.7,18
105,0.2,-1,0.5,11.4,1.14,0.538516481,,39,4.8,-85.2,93.8,,105,1,-85.2,18
106,0.1,-0.9,0.5,11,1.1,0.509901951,,30.8,-13.9,-85.9,92.3,,106,0.9,-85.9,-12
107,0.1,-0.7,0.5,9.1,0.91,0.509901951,,26.2,-6.6,-82.1,86.4,,107,0.7,-82.1,-72
108,0.2,-0.7,0.6,9.2,0.92,0.632455532,,-6.5,3.6,-38.6,39.3,,108,0.7,-38.6,-72
109,0.2,-0.7,0.5,8.5,0.85,0.538516481,,-37.1,2.3,4.6,37.4,,109,0.7,4.6,-72
110,0.2,-0.9,0.5,10.5,1.05,0.538516481,,-63.5,12.5,58.2,87,,110,0.9,58.2,-12
111,0.3,-1,0.4,11.2,1.12,0.5,,-63.1,-19.6,69.9,96.2,,111,1,69.9,18
112,0.3,-0.9,0.4,10.6,1.06,0.5,,-54,-41.9,72.3,99.5,,112,0.9,72.3,-12
113,0.3,-1,0.4,11.2,1.12,0.5,,-30.8,-43.4,65,84,,113,1,65,18
114,0.2,-1.1,0.4,12.1,1.21,0.447213595,,-17.1,-12.3,53.3,57.3,,114,1.1,53.3,48
115,0.2,-0.9,0.3,10,1,0.360555128,,-3.6,-1.1,23.8,24.1,,115,0.9,23.8,-12
116,0.2,-0.9,0.3,9.6,0.96,0.360555128,,-2.6,23,18.2,29.4,,116,0.9,18.2,-12
117,0.3,-0.9,0.3,9.6,0.96,0.424264069,,-0.1,34.8,5,35.1,,117,0.9,5,-12
118,0.3,-1.1,0.4,12.2,1.22,0.5,,9.4,58.8,-16.4,61.8,,118,1.1,-16.4,48
119,0.2,-1.1,0.4,11.5,1.15,0.447213595,,43.1,8.4,-88.9,99.1,,119,1.1,-88.9,48
120,0.1,-1.1,0.4,11.9,1.19,0.412310563,,67,46.9,-112.8,139.4,,120,1.1,-112.8,48
121,0.1,-1,0.3,11,1.1,0.316227766,,45.3,23.7,-85.2,99.4,,121,1,-85.2,18
122,0.2,-0.9,0.3,10.1,1.01,0.360555128,,26.9,12.9,-71.8,77.8,,122,0.9,-71.8,-12
123,0.1,-0.8,0.3,8.9,0.89,0.316227766,,0.5,1.4,-33.2,33.2,,123,0.8,-33.2,-42
124,0.2,-0.8,0.4,8.7,0.87,0.447213595,,-28.5,-2.9,22.8,36.6,,124,0.8,22.8,-42
125,0.2,-0.9,0.4,10.2,1.02,0.447213595,,-45.7,-43.2,87.9,108.1,,125,0.9,87.9,-12
126,0.2,-1.1,0.4,12.2,1.22,0.447213595,,-59,-37.9,123.4,141.9,,126,1.1,123.4,48
127,0.2,-1,0.3,11.2,1.12,0.360555128,,-29.3,-24.1,89.9,97.6,,127,1,89.9,18
128,0.2,-1.1,0.3,11.4,1.14,0.360555128,,-2.8,-39.8,53,66.3,,128,1.1,53,48
129,0.2,-0.9,0.3,9.9,0.99,0.360555128,,7.7,-40.9,34.2,53.8,,129,0.9,34.2,-12
130,0.2,-0.9,0.3,9.6,0.96,0.360555128,,-2.3,-14.4,24.7,28.7,,130,0.9,24.7,-12
131,0.2,-0.9,0.4,10,1,0.447213595,,-7,5.8,-0.9,9.1,,131,0.9,-0.9,-12
132,0.2,-0.9,0.3,9.5,0.95,0.360555128,,-15.4,30,-27.3,43.3,,132,0.9,-27.3,-12
133,0.2,-1.1,0.3,11.3,1.13,0.360555128,,-4.7,56.5,-39.5,69.1,,133,1.1,-39.5,48
134,0.2,-1.1,0.3,11.4,1.14,0.360555128,,16.5,61.6,-67.4,92.8,,134,1.1,-67.4,48
135,0.1,-1.3,0.4,13.5,1.35,0.412310563,,43,65,-70.4,105,,135,1.3,-70.4,108
136,0.2,-1,0.4,10.4,1.04,0.447213595,,49.3,-58.6,-76.6,108.3,,136,1,-76.6,18
137,0.2,-1,0.3,10.5,1.05,0.360555128,,33.6,37.5,-58.2,77,,137,1,-58.2,18
138,0.2,-0.9,0.3,9.6,0.96,0.360555128,,20.6,15.5,-41.5,48.9,,138,0.9,-41.5,-12
139,0.3,-0.8,0.3,9.2,0.92,0.424264069,,-12.6,20.9,-10.9,26.7,,139,0.8,-10.9,-42
140,0.2,-0.9,0.4,9.6,0.96,0.447213595,,-32.2,26.8,22.2,47.4,,140,0.9,22.2,-12
141,0.2,-0.9,0.4,10.2,1.02,0.447213595,,-37.8,-33.4,60.7,78.9,,141,0.9,60.7,-12
142,0.2,-1,0.4,11.1,1.11,0.447213595,,-39.3,-65,77.6,108.6,,142,1,77.6,18
143,0.2,-1.1,0.4,12.2,1.22,0.447213595,,-41,-43.8,79.6,99.7,,143,1.1,79.6,48
144,0.2,-1,0.3,10.7,1.07,0.360555128,,-16.6,-29.7,55,64.7,,144,1,55,18
145,0.2,-1,0.4,10.3,1.03,0.447213595,,-5.3,-34.2,41.6,54.1,,145,1,41.6,18
146,0.2,-0.9,0.4,9.6,0.96,0.447213595,,1.4,-10.5,22.9,25.2,,146,0.9,22.9,-12
147,0.2,-1,0.3,10.6,1.06,0.360555128,,4.4,19.9,0.5,20.4,,147,1,0.5,18
148,0.2,-1,0.3,10.6,1.06,0.360555128,,12.9,26.6,-43.4,52.5,,148,1,-43.4,18
149,0.2,-1,0.3,10.8,1.08,0.360555128,,24.2,35.6,-73.2,84.9,,149,1,-73.2,18
150,0.1,-1,0.3,10.7,1.07,0.316227766,,32.7,39.4,-70.3,86.9,,150,1,-70.3,18
151,0.1,-1,0.3,11,1.1,0.316227766,,38.2,12,-60.3,72.4,,151,1,-60.3,18
152,0.1,-0.9,0.3,9.7,0.97,0.316227766,,25.5,-24.2,-28.9,45.5,,152,0.9,-28.9,-12
153,0.2,-0.9,0.3,9.4,0.94,0.360555128,,0.3,9.2,-10.8,14.2,,153,0.9,-10.8,-12
154,0.1,-0.9,0.4,10.1,1.01,0.412310563,,-22,3.1,32.5,39.4,,154,0.9,32.5,-12
155,0.2,-0.9,0.4,10.1,1.01,0.447213595,,-24.1,-20.2,46.2,55.9,,155,0.9,46.2,-12
156,0.1,-1.1,0.4,11.3,1.13,0.412310563,,-23.6,-44.1,62.1,79.8,,156,1.1,62.1,48
157,0.2,-1,0.4,11,1.1,0.447213595,,-22.8,-43.1,62.5,79.3,,157,1,62.5,18
158,0.2,-1,0.4,11.2,1.12,0.447213595,,-21,-2.2,55.9,59.8,,158,1,55.9,18
159,0.1,-1,0.5,11,1.1,0.509901951,,0.1,-15.7,25.2,29.7,,159,1,25.2,18
160,0.1,-1,0.4,10.6,1.06,0.412310563,,13.9,3.2,-9.6,17.2,,160,1,-9.6,18
161,0,-0.8,0.4,9.2,0.92,0.4,,11.8,22,-25.2,35.4,,161,0.8,-25.2,-42
162,0.1,-0.8,0.4,8.9,0.89,0.412310563,,2.3,53.2,-18.1,56.3,,162,0.8,-18.1,-42
163,0.2,-0.8,0.5,9.9,0.99,0.538516481,,4,38.6,-19.3,43.4,,163,0.8,-19.3,-42
164,0.3,-1,0.5,11.1,1.11,0.583095189,,3.9,33.9,-27.2,43.7,,164,1,-27.2,18
165,0.3,-1,0.4,11.2,1.12,0.5,,9.7,8.4,-48.7,50.3,,165,1,-48.7,18
166,0.1,-1.1,0.4,12,1.2,0.412310563,,30.5,26.5,-51.8,65.7,,166,1.1,-51.8,48
167,0.1,-1,0.3,10.7,1.07,0.316227766,,27.1,-20.6,-45.6,56.9,,167,1,-45.6,18
168,0.1,-0.9,0.3,9.9,0.99,0.316227766,,23.2,-8.3,-42.3,48.9,,168,0.9,-42.3,-12
169,0.1,-1,0.3,10.4,1.04,0.316227766,,11.1,-10.8,-7.7,17.3,,169,1,-7.7,18
170,0.2,-0.8,0.3,9,0.9,0.360555128,,-2.3,-25.9,17.4,31.3,,170,0.8,17.4,-42
171,0.2,-0.9,0.4,10.3,1.03,0.447213595,,-17.3,-52.4,48.4,73.4,,171,0.9,48.4,-12
172,0.2,-1,0.5,11.4,1.14,0.538516481,,-33.8,-41.9,72.4,90.3,,172,1,72.4,18
173,0.3,-1,0.5,11.6,1.16,0.583095189,,-32.6,-27.2,70.4,82.2,,173,1,70.4,18
174,0.2,-1,0.5,11.6,1.16,0.538516481,,-25.6,11.2,58.3,64.6,,174,1,58.3,18
175,0.1,-1,0.4,10.7,1.07,0.412310563,,-13.2,-10.7,46.4,49.4,,175,1,46.4,18
176,0.1,-0.9,0.5,10,1,0.509901951,,-5.4,6.2,31.6,32.6,,176,0.9,31.6,-12
177,0.2,-0.9,0.5,10,1,0.538516481,,6.8,34.5,1.6,35.2,,177,0.9,1.6,-12
178,0.2,-0.8,0.4,8.9,0.89,0.447213595,,33.1,49.3,-33.3,68.1,,178,0.8,-33.3,-42
179,0.3,-1,0.4,11.1,1.11,0.5,,25,74.3,-39.4,87.7,,179,1,-39.4,18
180,0.2,-1.2,0.4,12.4,1.24,0.447213595,,39.7,46.5,-72.1,94.5,,180,1.2,-72.1,78
181,0.2,-1,0.3,10.7,1.07,0.360555128,,46.3,7.9,-85.7,97.7,,181,1,-85.7,18
182,0.1,-1,0.3,10.7,1.07,0.316227766,,36.1,18.2,-60,72.3,,182,1,-60,18
183,0.1,-0.9,0.3,10,1,0.316227766,,15.8,-13.2,-37.3,42.6,,183,0.9,-37.3,-12
184,0.1,-0.8,0.3,9,0.9,0.316227766,,-4.1,-3.3,-15,15.9,,184,0.8,-15,-42
185,0.1,-0.9,0.4,10,1,0.412310563,,-17.9,-18.4,30.6,39.9,,185,0.9,30.6,-12
186,0.1,-0.9,0.3,9.4,0.94,0.316227766,,-28.3,-38.6,53.3,71.6,,186,0.9,53.3,-12
187,0.1,-1.1,0.3,11.3,1.13,0.316227766,,-38.8,-61.1,73.8,103.3,,187,1.1,73.8,48
188,0.2,-1.1,0.4,11.6,1.16,0.447213595,,-43.3,-56.7,87,112.5,,188,1.1,87,48
189,0.2,-1.1,0.4,11.5,1.15,0.447213595,,-27.4,-61.7,68.8,96.4,,189,1.1,68.8,48
190,0.1,-1,0.5,11.1,1.11,0.509901951,,-4.4,-26.3,37.1,45.7,,190,1,37.1,18
191,0.1,-0.9,0.4,10,1,0.412310563,,4.7,-13.7,23.9,28,,191,0.9,23.9,-12
192,0.2,-0.8,0.4,9.6,0.96,0.447213595,,9.2,8,4.3,12.9,,192,0.8,4.3,-42
193,0.2,-0.8,0.4,9.3,0.93,0.447213595,,10.5,56.2,-21.7,61.1,,193,0.8,-21.7,-42
194,0.3,-1.1,0.3,11.7,1.17,0.424264069,,16.6,58.3,-55.5,82.2,,194,1.1,-55.5,48
195,0.2,-1.1,0.3,12.1,1.21,0.360555128,,30.5,62,-92,115.1,,195,1.1,-92,48
196,0.2,-1.1,0.3,11.3,1.13,0.360555128,,36,18,-91.3,99.7,,196,1.1,-91.3,48
197,0.1,-1,0.4,10.8,1.08,0.412310563,,39.7,14.8,-86.7,96.5,,197,1,-86.7,18
198,0.2,-0.9,0.3,9.5,0.95,0.360555128,,22.7,-6.9,-51.2,56.4,,198,0.9,-51.2,-12
199,0.2,-0.8,0.3,9,0.9,0.360555128,,-0.3,6.6,-3.1,7.2,,199,0.8,-3.1,-42
200,0.2,-0.9,0.3,9.4,0.94,0.360555128,,-21.6,2,44.3,49.3,,200,0.9,44.3,-12
201,0.2,-0.9,0.3,9.6,0.96,0.360555128,,-42.1,-21.1,85.7,97.8,,201,0.9,85.7,-12
202,0.2,-1.1,0.3,11.6,1.16,0.360555128,,-39.4,-45.6,87.2,106,,202,1.1,87.2,48
203,0.2,-1.1,0.4,11.7,1.17,0.447213595,,-37.9,-54.3,77.8,102.2,,203,1.1,77.8,48
204,0.2,-1,0.5,11.6,1.16,0.538516481,,-15.4,-49.6,54.8,75.5,,204,1,54.8,18
205,0.1,-1,0.5,10.7,1.07,0.509901951,,9.8,-42.4,29.5,52.6,,205,1,29.5,18
206,0.1,-0.9,0.4,10.3,1.03,0.412310563,,15.4,-12.2,6.2,20.6,,206,0.9,6.2,-12
207,0.2,-0.8,0.4,9.5,0.95,0.447213595,,3.7,32.5,-16.8,36.7,,207,0.8,-16.8,-42
208,0.2,-0.9,0.5,9.9,0.99,0.538516481,,5.6,124.9,-57,137.4,,208,0.9,-57,-12
209,0.2,-0.8,0.5,9.4,0.94,0.538516481,,22.2,92.8,-55.8,110.5,,209,0.8,-55.8,-42
210,0.2,-1.1,0.4,11.7,1.17,0.447213595,,34.5,48.8,-38.4,71,,210,1.1,-38.4,48
211,0.2,-1.1,0.4,11.6,1.16,0.447213595,,35.6,-5.4,-51.1,62.5,,211,1.1,-51.1,48
212,0.2,-1,0.4,10.7,1.07,0.447213595,,29.1,44,-60.5,80.3,,212,1,-60.5,18
213,0.1,-0.9,0.3,10,1,0.316227766,,17.8,15,-37.4,44.1,,213,0.9,-37.4,-12
214,0.1,-0.9,0.3,9.8,0.98,0.316227766,,-5.2,9.1,-9.8,14.4,,214,0.9,-9.8,-12
215,0.1,-0.9,0.3,9.4,0.94,0.316227766,,-20.6,-10.2,14.5,27.2,,215,0.9,14.5,-12
216,0.1,-0.9,0.3,10.1,1.01,0.316227766,,-33,-22.1,40.1,56.4,,216,0.9,40.1,-12
217,0.1,-1,0.3,10.2,1.02,0.316227766,,-35.1,-63.3,62.6,95.6,,217,1,62.6,18
218,0.2,-1,0.4,11.2,1.12,0.447213595,,-18.5,-75.3,58.1,96.9,,218,1,58.1,18
219,0.2,-1,0.5,11.8,1.18,0.538516481,,-11.9,-81.4,55.8,99.4,,219,1,55.8,18
220,0.2,-0.9,0.5,10.5,1.05,0.538516481,,-3.4,-47.1,42.9,63.8,,220,0.9,42.9,-12
221,0.2,-0.9,0.4,10.2,1.02,0.447213595,,-2.6,-27.9,27.7,39.4,,221,0.9,27.7,-12
