,,,,,,,,,,,,,AY,gz
115,-0.1,0.9,0.3,9.4,,115,-2.9,66.7,10.1,67.5,,115,9,10.1
116,-0.2,1,0.3,10.3,,116,3.4,49,0.6,49.1,,116,10,0.6
117,-0.2,0.9,0.3,9.5,,117,4.4,47.6,-3.6,48,,117,9,-3.6
118,-0.2,0.9,0.4,9.6,,118,4.8,40.6,-4.4,41.1,,118,9,-4.4
119,-0.2,0.9,0.4,10.2,,119,-8,10.9,-20.3,24.4,,119,9,-20.3
120,-0.2,0.9,0.3,10,,120,-17.4,-9.9,-31.6,37.4,,120,9,-31.6
121,-0.2,1,0.3,10.5,,121,-27.8,-13.9,-33.4,45.6,,121,10,-33.4
122,-0.2,0.9,0.3,9.6,,122,-32.4,13.5,-28.9,45.5,,122,9,-28.9
123,-0.2,0.8,0.3,9.1,,123,-24,31.2,-15,42.2,,123,8,-15
124,-0.2,0.8,0.3,8.6,,124,1.9,17.9,15.7,23.9,,124,8,15.7
125,-0.2,0.9,0.2,9.4,,125,7.3,-0.1,40.3,41,,125,9,40.3
126,-0.1,1,0.3,10,,126,18.1,55.9,68.6,90.3,,126,10,68.6
127,-0.1,0.9,0.3,9.4,,127,-3.6,61.9,54.3,82.4,,127,9,54.3
128,-0.2,1,0.3,10.1,,128,-1.6,56.2,52.6,77,,128,10,52.6
129,-0.1,0.9,0.3,10.1,,129,-2.5,28,30.4,41.4,,129,9,30.4
130,-0.1,0.9,0.4,9.4,,130,-2.6,-7.9,7,10.9,,130,9,7
131,-0.1,0.8,0.3,9.1,,131,1.2,-11.9,-11.6,16.6,,131,8,-11.6
132,-0.1,0.8,0.3,8.8,,132,14.1,-52.6,-23.6,59.3,,132,8,-23.6
133,-0.1,1.1,0.3,11.5,,133,12.8,-80.8,-27.4,86.3,,133,11,-27.4
134,-0.2,1,0.2,10.1,,134,-15.9,-69.3,-48,85.8,,134,10,-48
135,-0.3,1,0.2,10.6,,135,-9.8,-87.1,-45.2,98.7,,135,10,-45.2
136,-0.3,1,0.2,10.5,,136,-19.2,-110.7,-61.1,127.9,,136,10,-61.1
137,-0.3,0.9,0.3,9.6,,137,-21.8,-59.8,-65.7,91.4,,137,9,-65.7
138,-0.2,0.8,0.3,9.1,,138,-8.5,-48.3,-54.4,73.2,,138,8,-54.4
139,-0.2,0.8,0.3,8.8,,139,9.9,-48.7,-38.9,63.1,,139,8,-38.9
140,-0.2,0.9,0.4,9.8,,140,22.3,-52,-6.7,56.9,,140,9,-6.7
141,-0.3,0.8,0.4,9.6,,141,45.3,-44.7,13.8,65.1,,141,8,13.8
142,-0.2,0.8,0.5,9.1,,142,22.6,-42.7,1.2,48.3,,142,8,1.2
143,-0.3,1,0.5,11.1,,143,24.4,-96.4,-2.4,99.4,,143,10,-2.4
